Title,EmploymentType,Location,Closingdate,Agency,Link
Mitigation Specialist - Chesterfield,Full-Time (Salaried),Chesterfield,Feb 28 2023 at 23:55 EST,Indigent Defense Commission,https://www.jobs.virginia.gov/jobs/mitigation-specialist-chesterfield-chester-virginia-united-states
Office Manager (Administrative) - Chesterfield,Full-Time (Salaried),Chesterfield,Feb 28 2023 at 23:55 EST,Indigent Defense Commission,https://www.jobs.virginia.gov/jobs/office-manager-administrative-chesterfield-chester-virginia-united-states
Recruiter,Full-Time (Salaried),Virginia Beach,Feb 24 2023 at 23:55 EST,Department of Military Affairs,https://www.jobs.virginia.gov/jobs/recruiter-chesapeake-virginia-united-states-gloucester-hampton-isle-of-wight-portsmouth-suffolk-surry-sussex-virginia-beach-williamsburg-york
Environmental Health Specialist Sr.,Full-Time (Salaried),Petersburg,Feb 24 2023 at 23:55 EST,Department of Health,https://www.jobs.virginia.gov/jobs/environmental-health-specialist-sr-petersburg-virginia-united-states
Office Services Specialist,Full-Time (Salaried),Louisa,Feb 23 2023 at 23:55 EST,Department of Health,https://www.jobs.virginia.gov/jobs/office-services-specialist-louisa-virginia-united-states
Office Services Specialist,Full-Time (Salaried),Charlottesville,Feb 23 2023 at 23:55 EST,Department of Health,https://www.jobs.virginia.gov/jobs/office-services-specialist-charlottesville-virginia-united-states
Public Health Nurse,Full-Time (Salaried),Nelson,Feb 23 2023 at 23:55 EST,Department of Health,https://www.jobs.virginia.gov/jobs/public-health-nurse-nelson-virginia-united-states
Highway Maintenance Worker,Full-Time (Salaried),Bristol,,VA Dept of Transportation,https://www.jobs.virginia.gov/jobs/highway-maintenance-worker-bristol-virginia-united-states-3fb02579-33c4-4835-a0a6-2e35c97a5c93
Highway Maintenance Worker,Full-Time (Salaried),"Bland
  Bristol
  Wythe",,VA Dept of Transportation,https://www.jobs.virginia.gov/jobs/highway-maintenance-worker-bristol-virginia-united-states-bland-wythe
Highway Maintenance Worker,Full-Time (Salaried),"Bristol
  Wise, Virginia",,VA Dept of Transportation,https://www.jobs.virginia.gov/jobs/highway-maintenance-worker-bristol-virginia-united-states-wise-virginia
Highway Maintenance Worker,Full-Time (Salaried),,,VA Dept of Transportation,https://www.jobs.virginia.gov/jobs/highway-maintenance-worker-bristol-virginia-united-states
GED/ISAEP Teacher,Full-Time (Salaried),Chesterfield,,Department of Juvenile Justice,https://www.jobs.virginia.gov/jobs/ged-isaep-teacher-richmond-virginia-united-states
Driving Instructor - #WWRW0316,Full-Time (Salaried),Augusta County,,Dept for Aging & Rehab Svcs,https://www.jobs.virginia.gov/jobs/driving-instructor-wwrw0316-fishersville-virginia-united-states
District Mental Health Clinician (District #40 Fincastle P&P),Full-Time (Salaried),Botetourt County,,Dept of Corr - Central Admin,https://www.jobs.virginia.gov/jobs/district-mental-health-clinician-district-40-fincastle-p-p-fincastle-virginia-united-states
Corrections Officer,Full-Time (Salaried),"Richmond County
  Spotsylvania
  Stafford
  Westmoreland

            Richmond County
  Spotsylvania
  Stafford",,Dept of Corr - Central Admin,https://www.jobs.virginia.gov/jobs/corrections-officer-haynesville-virginia-united-states
Deputy Clerk - Wythe,Full-Time (Salaried),Wythe,Feb 24 2023 at 23:55 EST,Supreme Court,https://www.jobs.virginia.gov/jobs/deputy-clerk-wythe-richmond-virginia-united-states
Mathematics Instructor,Full-Time (Salaried),Virginia Beach,Feb 28 2023 at 23:55 EST,Department of Military Affairs,https://www.jobs.virginia.gov/jobs/mathematics-instructor-va-beach-virginia-united-states
Forest Technician-New River District,Full-Time (Salaried),Wythe,Mar 3 2023 at 23:55 EST,Department of Forestry,https://www.jobs.virginia.gov/jobs/forest-technician-new-river-district-charlottesville-virginia-united-states-138e75d1-3181-4fdd-8668-7614fcc472b0
Weights and Measures Large Capacity Scale Inspector,Full-Time (Salaried),"Alexandria
  Arlington
  Caroline
  Clarke, Virginia
  Culpepper
  Essex
  Fairfax
  Fairfax County
  Falls Church
  Fauquier County
  Fredericksburg
  Greene
  Harrisonburg
  King George
  Loudoun County
  Madison
  Manassas
  Northumberland
  Orange
  Page
  Prince William
  Rappahannock
  Richmond County
  Rockingham
  Shenandoah
  Spotsylvania
  Stafford
  Warren
  Westmoreland
  Winchester

            Alexandria
  Arlington
  Caroline",Feb 24 2023 at 23:55 EST,Agriculture & Consumer Svcs,https://www.jobs.virginia.gov/jobs/weights-and-measures-large-capacity-scale-inspector-fredericksburg-virginia-united-states
Chief Ranger - Visitor Experience - Shenandoah River State Park,Full-Time (Salaried),Warren,Feb 27 2023 at 23:55 EST,Dept Conservation & Recreation,https://www.jobs.virginia.gov/jobs/chief-ranger-visitor-experience-shenandoah-river-state-park-bentonville-virginia-united-states
Registered Nurse,Full-Time (Salaried),Sussex,,Dept of Corr - Central Admin,https://www.jobs.virginia.gov/jobs/registered-nurse-waverly-virginia-united-states
Direct Service Associate I (Health Services-Medical Housekeeping),Full-Time (Salaried),Sussex,,Dept of Corr - Central Admin,https://www.jobs.virginia.gov/jobs/direct-service-associate-i-health-services-medical-housekeeping-waverly-virginia-united-states
Maintenance Operator - (Franklin Residency),Full-Time (Salaried),"Franklin
  Isle Of Wight
  Southampton
  Sussex

            Franklin
  Isle Of Wight
  Southampton",Feb 26 2023 at 23:55 EST,VA Dept of Transportation,https://www.jobs.virginia.gov/jobs/maintenance-operator-franklin-residency-capron-virginia-united-states
"Vocational Rehabilitation Counselor / Trainee (RCD) - ($2,500 Sign-On Bonus)",Full-Time (Salaried),"Roanoke County
  Washington",,Dept for Aging & Rehab Svcs,https://www.jobs.virginia.gov/jobs/vocational-rehabilitation-counselor-trainee-rcd-2-500-sign-on-bonus-henrico-virginia-united-states
Director of Infection Control,Full-Time (Salaried),"Albemarle County
  Culpepper
  Fauquier County
  Fredericksburg
  Orange
  Prince William
  Rappahannock
  Spotsylvania
  Stafford

            Albemarle County
  Culpepper
  Fauquier County",Feb 25 2023 at 23:55 EST,Dept of Veterans Services,https://www.jobs.virginia.gov/jobs/director-of-infection-control-warrenton-virginia-united-states
Deputy Clerk - Prince William,Full-Time (Salaried),Prince William,,Supreme Court,https://www.jobs.virginia.gov/jobs/deputy-clerk-prince-william-manassas-virginia-united-states
Vietnamese Language Court Interpreter - Prince William,Full-Time (Salaried),Prince William,,Supreme Court,https://www.jobs.virginia.gov/jobs/vietnamese-language-court-interpreter-prince-william-richmond-virginia-united-states
Senior Assistant Public Defender / Senior Trial Attorney - Prince William,Full-Time (Salaried),Prince William,Feb 24 2023 at 23:55 EST,Indigent Defense Commission,https://www.jobs.virginia.gov/jobs/senior-assistant-public-defender-senior-trial-attorney-prince-william-manassas-virginia-united-states-a764cc81-8749-47fd-9c77-ad1221052206
Attorney - Assistant Public Defender I/II - Prince William,Full-Time (Salaried),Prince William,Feb 23 2023 at 23:55 EST,Indigent Defense Commission,https://www.jobs.virginia.gov/jobs/attorney-assistant-public-defender-i-ii-prince-william-manassas-virginia-united-states
Plumber/Steamfitter,Full-Time (Salaried),Nottoway,Feb 24 2023 at 23:55 EST,Department of Military Affairs,https://www.jobs.virginia.gov/jobs/plumber-steamfitter-blackstone-virginia-united-states
Dental Hygienist,Full-Time (Salaried),Nottoway,,Dept of Corr - Central Admin,https://www.jobs.virginia.gov/jobs/dental-hygienist-burkeville-virginia-united-states
Registered Nurse,Full-Time (Salaried),Nottoway,,Dept of Corr - Central Admin,https://www.jobs.virginia.gov/jobs/registered-nurse-burkeville-virginia-united-states-94062040-e219-4535-bb25-985dbc05f81f
Licensed Practical Nurse,Full-Time (Salaried),Nottoway,,Dept of Corr - Central Admin,https://www.jobs.virginia.gov/jobs/licensed-practical-nurse-burkeville-virginia-united-states-d62d1ff5-d1b3-4f30-a53e-04a723c0ddc4
Human Resources Officer,Full-Time (Salaried),Nottoway,,Dept of Corr - Central Admin,https://www.jobs.virginia.gov/jobs/human-resources-officer-burkeville-virginia-united-states
Mental Health Clinician I,Full-Time (Salaried),Nottoway,,Dept of Corr - Central Admin,https://www.jobs.virginia.gov/jobs/mental-health-clinician-i-burkeville-virginia-united-states
Corrections Officer: St. Brides Correctional Center,Full-Time (Salaried),Chesapeake,,Dept of Corr - Central Admin,https://www.jobs.virginia.gov/jobs/corrections-officer-chesapeake-virginia-united-states
Deputy Clerk - King William,Full-Time (Salaried),King William,,Supreme Court,https://www.jobs.virginia.gov/jobs/deputy-clerk-king-william-aylett-virginia-united-states
Forest Technician-New River District,Full-Time (Salaried),Henry,Mar 3 2023 at 23:55 EST,Department of Forestry,https://www.jobs.virginia.gov/jobs/forest-technician-new-river-district-charlottesville-virginia-united-states
Attorney - Assistant Public Defender I/II - Southwest Virginia Offices,Full-Time (Salaried),"Bedford County
  Danville
  Halifax
  Martinsville
  Pulaski
  Roanoke

            Bedford County
  Danville
  Halifax",Feb 27 2023 at 23:55 EST,Indigent Defense Commission,https://www.jobs.virginia.gov/jobs/attorney-assistant-public-defender-i-ii-southwest-virginia-offices-martinsville-virginia-united-states
Dentist,Full-Time (Salaried),Greensville,,Dept of Corr - Central Admin,https://www.jobs.virginia.gov/jobs/dentist-jarratt-virginia-united-states
Attorney - Assistant Public Defender I - Bedford,Full-Time (Salaried),Bedford County,Mar 7 2023 at 23:55 EST,Indigent Defense Commission,https://www.jobs.virginia.gov/jobs/attorney-assistant-public-defender-i-bedford-bedford-virginia-united-states
Magistrate - Loudoun,Full-Time (Salaried),Loudoun County,Feb 24 2023 at 23:55 EST,Supreme Court,https://www.jobs.virginia.gov/jobs/magistrate-loudoun-leesburg-virginia-united-states
Spanish Language Court Interpreter - Prince William,Full-Time (Salaried),Fairfax,,Supreme Court,https://www.jobs.virginia.gov/jobs/spanish-language-court-interpreter-fairfax-fairfax-virginia-united-states
Attorney - Assistant Public Defender I/II - Roanoke,Full-Time (Salaried),Roanoke,Mar 8 2023 at 23:55 EST,Indigent Defense Commission,https://www.jobs.virginia.gov/jobs/attorney-assistant-public-defender-i-ii-roanoke-roanoke-virginia-united-states
Staff Occupational Therapist - #WWRW0116,Full-Time (Salaried),Augusta County,Feb 24 2023 at 23:55 EST,Dept for Aging & Rehab Svcs,https://www.jobs.virginia.gov/jobs/staff-occupational-therapist-wwrw0116-fishersville-virginia-united-states
Public Health Nurse,Full-Time (Salaried),Montgomery County,,Department of Health,https://www.jobs.virginia.gov/jobs/public-health-nurse-christiansburg-virginia-united-states
Attorney - Assistant Public Defender I - Suffolk,Full-Time (Salaried),Suffolk,Feb 27 2023 at 23:55 EST,Indigent Defense Commission,https://www.jobs.virginia.gov/jobs/attorney-assistant-public-defender-i-suffolk-suffolk-virginia-united-states
Magistrate - Lynchburg,Full-Time (Salaried),Lynchburg,Feb 24 2023 at 23:55 EST,Supreme Court,https://www.jobs.virginia.gov/jobs/magistrate-lynchburg-lynchburg-virginia-united-states
Dental Hygienist,Full-Time (Salaried),"Wise, Virginia",Feb 26 2023 at 23:55 EST,Department of Health,https://www.jobs.virginia.gov/jobs/dental-hygienist-wise-virginia-united-states
Attorney - Assistant Public Defender I/II - Pulaski,Full-Time (Salaried),Pulaski,Feb 28 2023 at 23:55 EST,Indigent Defense Commission,https://www.jobs.virginia.gov/jobs/attorney-assistant-public-defender-i-ii-pulaski-pulaski-virginia-united-states
Poultry Grader - Night Shift,Full-Time (Salaried),Danville,Feb 27 2023 at 23:55 EST,Agriculture & Consumer Svcs,https://www.jobs.virginia.gov/jobs/poultry-grader-night-shift-danville-virginia-united-states
Group Violence Intervention (GVI) Coordinator. Programs/Major Crimes &Emerging Threats Section- Southwest Virginia (OAG00663),Full-Time (Salaried),Roanoke,,Attorney General & Dept of Law,https://www.jobs.virginia.gov/jobs/group-violence-intervention-gvi-coordinator-programs-major-crimes-emerging-threats-section-southwest-virginia-oag00663-roanoke-virginia-united-states
Group Violence Intervention (GVI) Coordinator. Programs/Major Crimes &Emerging Threats Section- Hampton Roads (OAG00662),Full-Time (Salaried),Hampton,,Attorney General & Dept of Law,https://www.jobs.virginia.gov/jobs/group-violence-intervention-gvi-coordinator-programs-major-crimes-emerging-threats-section-hampton-roads-oag00662-suffolk-virginia-united-states
Senior Investment Analyst,Full-Time (Salaried),Chesterfield,Mar 10 2023 at 23:55 EST,Virginia College Savings Plan,https://www.jobs.virginia.gov/jobs/senior-investment-analyst-north-chesterfield-virginia-united-states-65297899-d05e-4c5b-aff4-f3ce636aace6
Engineer Structure and Bridge,Full-Time (Salaried),Staunton,,VA Dept of Transportation,https://www.jobs.virginia.gov/jobs/engineer-structure-and-bridge-staunton-virginia-united-states
CSU Director,Full-Time (Salaried),Charlottesville,,Department of Juvenile Justice,https://www.jobs.virginia.gov/jobs/csu-director-charlottesville-virginia-united-states
Attorney - Assistant Public Defender I/II - Tidewater Virginia Offices,Full-Time (Salaried),"Chesapeake
  Franklin
  Hampton
  Newport News
  Portsmouth
  Suffolk

            Chesapeake
  Franklin
  Hampton",Feb 27 2023 at 23:55 EST,Indigent Defense Commission,https://www.jobs.virginia.gov/jobs/attorney-assistant-public-defender-i-ii-tidewater-virginia-offices-portsmouth-virginia-united-states
Campus Life Associate Recreation Therapist - #WWRW0084,Full-Time (Salaried),Augusta County,,Dept for Aging & Rehab Svcs,https://www.jobs.virginia.gov/jobs/campus-life-associate-recreation-therapist-wwrw0084-fishersville-virginia-united-states
Maintenance Operator,Full-Time (Salaried),Rockbridge County,,VA Dept of Transportation,https://www.jobs.virginia.gov/jobs/maintenance-operator-fairfield-virginia-united-states
Bridge Maintenance Operator,Full-Time (Salaried),Augusta County,,VA Dept of Transportation,https://www.jobs.virginia.gov/jobs/bridge-maintenance-operator-verona-united-states
Maintenance Operator (Stephens City),Full-Time (Salaried),Fredericksburg,,VA Dept of Transportation,https://www.jobs.virginia.gov/jobs/maintenance-operator-stephens-city-stephens-city-virginia-united-states-1c19b123-fe21-4aa7-b813-227982c161ec
Maintenance Operator,Full-Time (Salaried),"Augusta County
  Staunton",,VA Dept of Transportation,https://www.jobs.virginia.gov/jobs/maintenance-operator-fishersville-virginia-united-states
Contract Closeout Specialist CMS /Chester - BVIIS099,Full-Time (Salaried),Chesterfield,,Dept for Blind/Vision Impaired,https://www.jobs.virginia.gov/jobs/contract-closeout-specialist-cms-chester-bviis099-richmond-virginia-united-states
Placement Counselor - #ARS00475,Full-Time (Salaried),Petersburg,,Dept for Aging & Rehab Svcs,https://www.jobs.virginia.gov/jobs/placement-counselor-ars00475-henrico-virginia-united-states
Police Officer,Full-Time (Salaried),Augusta County,,Dept for Aging & Rehab Svcs,https://www.jobs.virginia.gov/jobs/police-officer-fishersville-virginia-united-states
Attorney - Assistant Public Defender I/II - Central Virginia Offices,Full-Time (Salaried),Lynchburg,Feb 27 2023 at 23:55 EST,Indigent Defense Commission,https://www.jobs.virginia.gov/jobs/attorney-assistant-public-defender-i-ii-central-virginia-offices-lynchburg-virginia-united-states
Attorney - Assistant Public Defender I/II - Central Virginia Offices,Full-Time (Salaried),Lynchburg,Feb 27 2023 at 23:55 EST,Indigent Defense Commission,https://www.jobs.virginia.gov/jobs/attorney-assistant-public-defender-i-ii-central-virginia-offices-lynchburg-virginia-united-states
Deputy Clerk - Fairfax County - Court Operations,Full-Time (Salaried),Fairfax County,,Supreme Court,https://www.jobs.virginia.gov/jobs/deputy-clerk-fairfax-county-court-operations-fairfax-virginia-united-states
