Title,Agency,EmploymentType,PayBand,HiringRange,RecruitmentType,Status,ClosingDate,LocationGeneral,LocationDetail,Link,DateFirstRetrieved
Corrections Officer: Pocahontas St Correctional Center #00373,Department of Corr - Central Admin,Full-Time (Salaried),NA,"$42,000",General Public - G,Open,NA,Tazewell,Pocahontas State Corr Ctr,https://www.jobs.virginia.gov/jobs/corrections-officer-pocahontas-st-correctional-center-00373-tazewell-virginia-united-states,2023-03-04
Public Health Nurse Supervisor,Department of Health,Full-Time (Salaried),NA,"$80,000 - $87,000",General Public - G,Open,2023-03-10T23:55:00Z,Richmond,Dept of Health,https://www.jobs.virginia.gov/jobs/public-health-nurse-supervisor-richmond-virginia-united-states-37ec382e-0b26-4333-993f-8b5d48956df4,2023-03-04
Management Analyst Senior #W4310,Department of Social Services,Full-Time (Salaried),NA,"$66,049-$80,000 (salary commensurate w/experience)",General Public - G,Open,2023-03-10T23:55:00Z,Richmond,DSS HOME OFFICE,https://www.jobs.virginia.gov/jobs/management-analyst-senior-w4310-richmond-virginia-united-states,2023-03-04
Maintenance Operator,VA Department of Transportation,Full-Time (Salaried),2,"$35,489 - $57,669",General Public - G,Open,2023-03-10T23:55:00Z,Hanover,Hanover County,https://www.jobs.virginia.gov/jobs/maintenance-operator-hanover-virginia-united-states,2023-03-04
Food Operations Assistant Director: Lunenburg Correctional Center #00042,Department of Corr - Central Admin,Full-Time (Salaried),NA,"$43,890 - $64,909",General Public - G,Open,2023-03-17T23:55:00Z,Lunenburg,Lunenburg Correctional Center,https://www.jobs.virginia.gov/jobs/food-operations-assistant-director-lunenburg-correctional-center-00042-lunenburg-virginia-united-states-048a356b-603b-4e6b-b2e5-de624a4b64bb,2023-03-04
Casework Counselor: State Farm Work Center #02013,Department of Corr - Central Admin,Full-Time (Salaried),NA,"$42,000 - $60,675",General Public - G,Open,2023-03-17T23:55:00Z,Goochland,State Farm Work Center,https://www.jobs.virginia.gov/jobs/casework-counselor-state-farm-work-center-02013-goochland-virginia-united-states,2023-03-04
Unit Manager: Buckingham Correctional Center #00535,Department of Corr - Central Admin,Full-Time (Salaried),NA,"$53,352 - $83,329",Agency Employee Only - A,Open,2023-03-17T23:55:00Z,Buckingham,Buckingham Correctional Center,https://www.jobs.virginia.gov/jobs/unit-manager-buckingham-correctional-center-00535-buckingham-virginia-united-states,2023-03-04
Maintenance Technician,Frontier Culture Museum of VA,Full-Time (Salaried),NA,"32,500",General Public - G,Open,2023-03-17T23:55:00Z,"Augusta County
  Charlottesville
  Clifton Forge
  Harrisonburg
  Highland
  Lexington
  Nelson
  Rockbridge County
  Rockingham
  Staunton

            Augusta County
  Charlottesville
  Clifton Forge",Frontier Culture Museum of Va,https://www.jobs.virginia.gov/jobs/maintenance-technician-augusta-county-virginia-united-states-charlottesville-clifton-forge-harrisonburg-highland-lexington-nelson-rockbridge-county-rockingham-staunton,2023-03-04
Real Pay for Real Jobs EPIC Project Vocational Rehabilitation Counselor (Capitol District) - #ARS00125,Department for Aging & Rehab Svcs,Full-Time (Salaried),4,Commensurate with Experience,General Public - G,Open,NA,Henrico,Aging & Rehab Svcs,https://www.jobs.virginia.gov/jobs/real-pay-for-real-jobs-epic-project-vocational-rehabilitation-counselor-capitol-district-ars00125-henrico-virginia-united-states,2023-03-04
PeopleSoft Developer - 00022,Department of General Services,"Faculty (Salaried)
              Full-Time (Salaried)",NA,"$85,000 - $100,000",General Public - G,Open,NA,Richmond,Monroe Building,https://www.jobs.virginia.gov/jobs/peoplesoft-developer-00022-richmond-virginia-united-states,2023-03-04
Administrative Office Specialist,Marine Resources Commission,Full-Time (Salaried),NA,"$29,772 – $35,000",General Public - G,Open,2023-04-02T23:55:00Z,"Outside of State
  Washington
  Prince Georges
  Accomac
  Albemarle County
  Alexandria
  Alleghany
  Amelia
  Amherst
  Appomattox
  Arlington
  Augusta County
  Bath
  Bedford
  Bedford County
  Bland
  Botetourt County
  Bristol
  Brunswick
  Buchanan
  Buckingham
  Buena Vista
  Campbell
  Caroline
  Carroll
  Charles City
  Charlotte County
  Charlotte Court House
  Charlottesville
  Chesapeake
  Chesterfield
  Clarke
  Clifton Forge
  Colonial Heights
  Covington
  Craig
  Culpepper
  Cumberland
  Danville
  Dickenson
  Dinwiddie
  Emporia
  Essex
  Fairfax
  Fairfax County
  Falls Church
  Fauquier County
  Floyd
  Fluvanna
  Franklin
  Franklin County
  Frederick County
  Fredericksburg
  Galax
  Giles
  Gloucester
  Goochland
  Gordonsville
  Grayson
  Greene
  Greensville
  Halifax
  Hampton
  Hanover
  Harrisonburg
  Henrico
  Henry
  Highland
  Hopewell
  Isle Of Wight
  James City
  King & Queen
  King George
  King William
  Lancaster
  Lee
  Lexington
  Loudoun County
  Louisa
  Lunenburg
  Lynchburg
  Madison
  Manassas
  Manassas Park
  Martinsville
  Mathews
  Mecklenburg
  Melfa
  Middlesex
  Montgomery County
  Nelson
  New Kent
  Newport News
  Norfolk
  North Chesterfield
  Northampton
  Northumberland
  Norton
  Nottoway
  Orange
  Page
  Patrick
  Petersburg
  Pittsylvania
  Poquoson
  Portsmouth
  Powhatan
  Prince Edward
  Prince George
  Prince William
  Pulaski
  Radford
  Rappahannock
  Richmond
  Richmond County
  Roanoke
  Roanoke County
  Rockbridge County
  Rockingham
  Russell
  Salem
  Scott
  Shenandoah
  Smyth
  South Boston
  Southampton
  Spotsylvania
  Stafford
  Staunton
  Suffolk
  Surry
  Sussex
  Tazewell
  Virginia Beach
  Warren
  Waynesboro
  Westmoreland
  Williamsburg
  Winchester
  Wise
  Wythe
  York

            Outside of State
  Washington
  Prince Georges",main location,https://www.jobs.virginia.gov/jobs/administrative-office-specialist-accomac-virginia-united-states-albemarle-county-alexandria-alleghany-amelia-amherst-appomattox-arlington-augusta-county-bath-bedford-bedford-county-bland-bote,2023-03-06
Office Services Supervisor Sr.,Department of Health,Full-Time (Salaried),NA,"$29,772-$45,000",General Public - G,Open,2023-03-20T23:55:00Z,"Brunswick
  Charlotte County
  Emporia
  Halifax
  Lunenburg
  Mecklenburg
  South Boston

            Brunswick
  Charlotte County
  Emporia",Mecklenburg County Territory,https://www.jobs.virginia.gov/jobs/office-services-supervisor-sr-brunswick-virginia-united-states-charlotte-county-emporia-halifax-lunenburg-mecklenburg-south-boston,2023-03-06
Right of Way Agent,VA Department of Transportation,Full-Time (Salaried),NA,"$72,000 - $100,000",General Public - G,Open,2023-03-27T23:55:00Z,"Fairfax
  Fredericksburg",NOVA District Office,https://www.jobs.virginia.gov/jobs/right-of-way-agent-fairfax-virginia-united-states-fredericksburg,2023-03-06
Forensic Evidence Specialist I - Central Laboratory - CF623,Department of Forensic Science,Full-Time (Salaried),3,"$31,745 - $40,482",General Public - G,Open,2023-03-13T23:55:00Z,Richmond,Dept of Forensic Science,https://www.jobs.virginia.gov/jobs/forensic-evidence-specialist-i-central-laboratory-cf623-richmond-virginia-united-states,2023-03-06
Farm Manager: State Farm Correctional Center #01581,Department of Corr - Central Admin,Full-Time (Salaried),NA,"$45,486 - $70,958",General Public - G,Open,2023-03-31T23:55:00Z,Goochland,State Farm Work Center,https://www.jobs.virginia.gov/jobs/farm-manager-state-farm-correctional-center-01581-goochland-virginia-united-states,2023-03-06
Tractor Trailer Driver: State Farm Correctional Center #01554,Department of Corr - Central Admin,Full-Time (Salaried),NA,"$43,995 - $55,037",General Public - G,Open,NA,Goochland,State Farm Work Center,https://www.jobs.virginia.gov/jobs/tractor-trailer-driver-state-farm-correctional-center-01554-goochland-virginia-united-states,2023-03-06
Environmental Health Specialist Sr.,Department of Health,Full-Time (Salaried),NA,"$41,475 - $53,478",General Public - G,Open,2023-03-17T23:55:00Z,Petersburg,CRATER HQ,https://www.jobs.virginia.gov/jobs/environmental-health-specialist-sr-petersburg-virginia-united-states-674b5c0c-430b-4a20-9493-a58ba0c911ff,2023-03-06
Investigator,Indigent Defense Commission,Full-Time (Salaried),NA,"$52,757.00 + State Benefits",General Public - G,Open,2023-03-31T23:55:00Z,Charlottesville,CHARLOTTESVILLE 320,https://www.jobs.virginia.gov/jobs/investigator-charlottesville-virginia-united-states,2023-03-06
NRO - P1126 - Office & Administrative Support,Department of Environmental Quality,Full-Time (Salaried),3,"$36,000 - 55,000",General Public - G,Open,2023-03-20T23:55:00Z,Prince William,Northern Regional Office,https://www.jobs.virginia.gov/jobs/nro-p1126-office-administrative-support-prince-william-virginia-united-states,2023-03-06
Maintenance Supervisor – Brosville AHQ,VA Department of Transportation,Full-Time (Salaried),NA,"$41,886 - $68,065",General Public - G,Open,2023-03-17T23:55:00Z,Danville,Brosville AHQ,https://www.jobs.virginia.gov/jobs/maintenance-supervisor-brosville-ahq-danville-virginia-united-states,2023-03-06
Inventory IMS Program Supervisor,VA Department of Transportation,Full-Time (Salaried),NA,"$56,891 - $92,448",General Public - G,Open,2023-03-17T23:55:00Z,Richmond,Old Hwy. Building,https://www.jobs.virginia.gov/jobs/inventory-ims-program-supervisor-richmond-virginia-united-states,2023-03-06
IT Specialist,Department of Veterans Services,Full-Time (Salaried),NA,"$60,000-$70,000",General Public - G,Open,NA,Virginia Beach,J&C VCC,https://www.jobs.virginia.gov/jobs/it-specialist-virginia-beach-virginia-united-states,2023-03-06
Orientation & Mobility Specialist (Sign on Bonus) - #BVI00127,Department for Blind/Vision Impaired,Full-Time (Salaried),4,"Salary range $47,476 - $87,831 ($10,000 Sign on Bonus)",General Public - G,Open,NA,Staunton,Blind & Vision Impaired,https://www.jobs.virginia.gov/jobs/orientation-mobility-specialist-sign-on-bonus-bvi00127-staunton-virginia-united-states,2023-03-06
Deputy Economist,Department of Taxation,Full-Time (Salaried),NA,"Commensurate with experience up to $166,000",General Public - G,Open,2023-03-19T23:55:00Z,Richmond,Main Street Center,https://www.jobs.virginia.gov/jobs/deputy-economist-richmond-virginia-united-states,2023-03-06
Trade Representative,Virginia Employment Commission,Full-Time (Salaried),NA,"$42,000 - $47,000 annually",Agency Employee Only - A,Open,2023-03-19T23:55:00Z,"Washington
  Accomac
  Albemarle County
  Alexandria
  Alleghany
  Amelia
  Amherst
  Appomattox
  Arlington
  Augusta County
  Bath
  Bedford
  Bedford County
  Bland
  Botetourt County
  Bristol
  Brunswick
  Buchanan
  Buckingham
  Buena Vista
  Campbell
  Caroline
  Carroll
  Charles City
  Charlotte County
  Charlotte Court House
  Charlottesville
  Chesapeake
  Chesterfield
  Clarke
  Clifton Forge
  Colonial Heights
  Covington
  Craig
  Culpepper
  Cumberland
  Danville
  Dickenson
  Dinwiddie
  Emporia
  Essex
  Fairfax
  Fairfax County
  Falls Church
  Fauquier County
  Floyd
  Fluvanna
  Franklin
  Franklin County
  Frederick County
  Fredericksburg
  Galax
  Giles
  Gloucester
  Goochland
  Gordonsville
  Grayson
  Greene
  Greensville
  Halifax
  Hampton
  Hanover
  Harrisonburg
  Henrico
  Henry
  Highland
  Hopewell
  Isle Of Wight
  James City
  King & Queen
  King George
  King William
  Lancaster
  Lee
  Lexington
  Loudoun County
  Louisa
  Lunenburg
  Lynchburg
  Madison
  Manassas
  Manassas Park
  Martinsville
  Mathews
  Mecklenburg
  Melfa
  Middlesex
  Montgomery County
  Nelson
  New Kent
  Newport News
  Norfolk
  North Chesterfield
  Northampton
  Northumberland
  Norton
  Nottoway
  Orange
  Page
  Patrick
  Petersburg
  Pittsylvania
  Poquoson
  Portsmouth
  Powhatan
  Prince Edward
  Prince George
  Prince William
  Pulaski
  Radford
  Rappahannock
  Richmond
  Richmond County
  Roanoke
  Roanoke County
  Rockbridge County
  Rockingham
  Russell
  Salem
  Scott
  Shenandoah
  Smyth
  South Boston
  Southampton
  Spotsylvania
  Stafford
  Staunton
  Suffolk
  Surry
  Sussex
  Tazewell
  Virginia Beach
  Warren
  Waynesboro
  Westmoreland
  Williamsburg
  Winchester
  Wise
  Wythe
  York

            Washington
  Accomac
  Albemarle County",VEC CENTRAL OFFICE,https://www.jobs.virginia.gov/jobs/trade-representative-accomac-virginia-united-states-albemarle-county-alexandria-alleghany-amelia-amherst-appomattox-arlington-augusta-county-bath-bedford-bedford-county-bland-botetourt-county,2023-03-06
Equipment Repair Supervisor,VA Department of Transportation,Full-Time (Salaried),4,"$52.953-$75,000",General Public - G,Open,2023-03-14T23:55:00Z,Montgomery County,Christiansburg Residency,https://www.jobs.virginia.gov/jobs/equipment-repair-supervisor-montgomery-county-virginia-united-states,2023-03-06
Auto Mechanics Instructor - #WWRW0014,Department for Aging & Rehab Svcs,Full-Time (Salaried),4,Negotiable up to $65000.00,General Public - G,Open,2023-03-20T23:55:00Z,Augusta County,Wilson Wkfc Rehab Ctn,https://www.jobs.virginia.gov/jobs/auto-mechanics-instructor-wwrw0014-augusta-county-virginia-united-states,2023-03-06
Junior Systems Analyst,VA Workers' Compensation Comm,Full-Time (Salaried),NA,"Minimum starting salary $52,356, commensurate with experience",General Public - G,Open,2023-03-20T23:55:00Z,Richmond,RICHMOND HEADQUARTERS,https://www.jobs.virginia.gov/jobs/junior-systems-analyst-richmond-virginia-united-states,2023-03-06
IT Infrastructure and Operations Manager,VA Department of Transportation,Full-Time (Salaried),NA,"$100,615 - $160,000",General Public - G,Open,2023-03-17T23:55:00Z,Richmond,Annex Building,https://www.jobs.virginia.gov/jobs/it-infrastructure-and-operations-manager-richmond-virginia-united-states,2023-03-06
Human Resource Business Partner,Department of Taxation,Full-Time (Salaried),NA,Commensurate with experience,General Public - G,Open,2023-03-19T23:55:00Z,Richmond,Main Street Center,https://www.jobs.virginia.gov/jobs/human-resource-business-partner-richmond-virginia-united-states,2023-03-06
Crew Leader,VA Department of Transportation,Full-Time (Salaried),NA,"$38,126 - 50,000",General Public - G,Open,2023-03-19T23:55:00Z,"Hampton
  Newport News",Hampton Roads Harbor Tunnels,https://www.jobs.virginia.gov/jobs/crew-leader-hampton-virginia-united-states-newport-news,2023-03-06
Special Education and Student Support Assistant,Department of Juvenile Justice,Full-Time (Salaried),NA,"Commensurate up to $60,000",General Public - G,Open,2023-03-17T23:55:00Z,Chesterfield,Bon Air JCC,https://www.jobs.virginia.gov/jobs/special-education-and-student-support-assistant-chesterfield-virginia-united-states,2023-03-06
Computer Center Lead Engineer - Multi hire (Position No. 00364 and 01944),Department of Motor Vehicles,Full-Time (Salaried),NA,"Commensurate with experience, up to $120,000",General Public - G,Open,2023-03-13T23:55:00Z,Richmond,IT SERVICES,https://www.jobs.virginia.gov/jobs/computer-center-lead-engineer-multi-hire-position-no-00364-and-01944-richmond-virginia-united-states,2023-03-06
Sr. Software Engineer- Position No. 01903,Department of Motor Vehicles,Full-Time (Salaried),NA,"Commensurate with experience, up to $115,000",General Public - G,Open,2023-03-13T23:55:00Z,Richmond,IT SERVICES,https://www.jobs.virginia.gov/jobs/sr-software-engineer-position-no-01903-richmond-virginia-united-states,2023-03-06
Senior Construction Inspector,VA Department of Transportation,Full-Time (Salaried),NA,"$55,574 - $74,000",General Public - G,Open,2023-03-19T23:55:00Z,Chesapeake,Interstate Management Office,https://www.jobs.virginia.gov/jobs/senior-construction-inspector-chesapeake-virginia-united-states,2023-03-06
Permanency Practice Consultant Sr. #W5124,Department of Social Services,Full-Time (Salaried),5,"$62,904 - $74,000/yr.",General Public - G,Open,NA,Norfolk,EASTERN REGIONAL & LICENSING,https://www.jobs.virginia.gov/jobs/permanency-practice-consultant-sr-w5124-norfolk-virginia-united-states,2023-03-06
Peanut Inspector #01364,Agriculture & Consumer Svcs,Full-Time (Salaried),4,"Up to $50,000 annually. Excellent State Benefits",General Public - G,Open,2023-03-10T23:55:00Z,Suffolk,SUFFOLK-PEANUT OFFICE,https://www.jobs.virginia.gov/jobs/peanut-inspector-01364-suffolk-virginia-united-states,2023-03-06
Property Tax Director,Department of Taxation,Full-Time (Salaried),NA,Commensurate with experience,General Public - G,Open,2023-03-19T23:55:00Z,Richmond,Main Street Center,https://www.jobs.virginia.gov/jobs/property-tax-director-richmond-virginia-united-states,2023-03-06
Program Manager Senior,Department of Social Services,Full-Time (Salaried),NA,"$78,100 - $97,951",General Public - G,Open,2023-03-10T23:55:00Z,Richmond,DSS HOME OFFICE,https://www.jobs.virginia.gov/jobs/program-manager-senior-richmond-virginia-united-states-2f4fabd4-5959-4324-95ea-3f4dd16d9d5a,2023-03-06
